id,feature,weight,chartype,HI,AR,GK,AL,TB,VE,AV,OC,LI,OE,OI,LA,LU,LY,TA,PE,PR,LT,GO,ON,OG,WE,OS,UM
c47,belly2,1,standard,1,2,3,4,5,6,6,7,8,9,10,11,12,13,5,14,18,18,9,9,9,15,16,17
c48,big1,1,standard,1,2,2,2,3,2,2,4,5,2,6,2,7,8,9,10,11,12,2,2,2,6,13,13
c49,big2,1,standard,1,2,2,2,3,2,2,4,5,14,6,2,7,8,9,10,11,12,14,14,14,6,13,13
c50,bird,1,standard,1,2,3,4,5,6,6,7,8,9,10,6,11,12,5,13,14,7,9,9,9,10,15,6
c51,bite,1,standard,1,2,3,4,5,3,3,6,6,7,8,9,10,11,12,13,14,6,7,7,7,15,16,17
c52,breast1,1,standard,1,2,3,4,2,2,2,5,6,7,8,9,1,10,2,11,12,6,7,7,7,7,13,14
c53,breast2,1,standard,1,2,3,4,2,2,2,5,6,7,8,9,1,10,2,11,12,6,7,7,7,13,14,15
c54,breathe,1,standard,1,2,3,4,5,5,5,6,7,5,5,8,9,10,11,12,13,14,5,5,15,5,16,17
c55,burn,1,standard,1,2,3,4,4,4,4,5,4,6,7,8,9,10,4,11,12,4,6,6,6,7,13,14
c56,child,1,standard,1,2,3,4,5,6,7,8,9,10,11,12,13,14,5,15,16,17,10,10,18,19,20,21
c57,claw,1,standard,1,2,3,4,5,3,6,3,3,7,3,3,8,9,10,11,12,3,13,7,7,14,15,16
c58,day1,1,standard,1,2,2,1,3,1,4,1,1,5,6,1,7,8,3,9,1,1,5,5,5,10,1,1
c59,day2,1,standard,11,2,2,12,3,1,4,13,13,5,6,1,7,8,3,9,13,13,5,5,5,10,14,14
c60,day3,1,standard,1,1,2,1,3,4,4,1,1,5,6,1,7,8,3,9,10,1,5,5,5,1,11,12
c61,day4,1,standard,13,1,2,14,3,4,4,15,15,5,6,1,7,8,3,9,10,15,5,5,5,1,11,12
c62,dig,1,standard,1,2,3,4,5,6,6,7,8,9,10,1,11,12,5,6,13,14,9,9,9,10,15,16
c63,dirty,1,standard,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19,20,21,22
c64,dog,1,standard,1,1,1,2,1,1,1,3,1,9,1,4,1,5,1,6,1,1,9,9,9,1,7,8
c65,drink,1,standard,1,2,3,3,1,3,4,3,5,6,3,3,1,7,1,8,3,5,6,6,6,3,3,9
c66,dull,1,standard,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,21,22,23
c67,dust,1,standard,1,2,3,4,5,7,8,9,10,6,12,13,14,15,5,16,17,18,19,11,19,20,21,22
c68,ear1,1,standard,1,2,2,2,3,4,5,2,2,2,9,2,1,6,3,5,2,2,2,2,2,9,7,8
c69,ear2,1,standard,1,2,2,2,3,4,5,2,2,10,9,2,1,6,3,5,2,2,10,10,10,9,7,8
c70,earth1,1,standard,1,2,3,1,1,1,1,1,1,4,5,6,1,7,1,8,1,1,4,4,4,9,6,10
c71,earth2,1,standard,1,2,3,1,1,1,1,11,11,4,5,6,1,7,1,8,11,11,4,4,4,9,6,10
c72,egg,1,standard,1,2,3,4,5,6,7,3,8,3,9,3,10,11,12,13,14,15,16,3,3,3,17,18
c73,eye1,1,standard,1,2,2,3,2,2,4,2,2,2,8,2,1,1,2,4,2,2,2,2,2,5,6,7
c74,eye2,1,standard,1,2,2,3,2,2,4,2,2,9,8,2,1,1,2,4,2,2,9,9,9,5,6,7
c75,far1,1,standard,1,2,14,3,4,1,1,5,6,15,7,16,8,9,4,1,10,6,15,15,15,11,12,13
c76,far2,1,standard,1,2,14,3,4,17,17,5,6,15,7,16,8,9,4,17,10,6,15,15,15,11,12,13
c77,fat,1,standard,1,2,3,4,5,6,6,7,7,8,9,10,11,12,5,13,7,7,14,8,15,16,17,10
c78,feather1,1,standard,1,2,3,4,3,3,3,3,5,6,7,18,8,9,10,11,12,13,14,6,6,15,16,17
c79,feather2,1,standard,1,2,19,4,20,21,21,3,5,6,7,18,8,9,10,11,12,13,14,6,6,15,16,17
c80,few1,1,standard,1,2,3,4,5,6,7,8,9,10,11,10,12,13,14,7,15,9,10,10,10,16,17,18
c81,few2,1,standard,1,2,3,4,5,6,7,8,9,10,11,19,12,13,14,7,15,9,10,10,10,16,17,18
c82,fish1,1,standard,1,2,2,3,4,5,5,6,2,7,7,7,8,9,10,11,2,2,7,7,7,12,13,14
c83,fish2,1,standard,1,2,2,3,4,5,5,6,2,7,15,16,8,9,10,11,2,2,7,7,7,12,13,14
c84,five,1,standard,1,2,2,2,2,2,2,2,2,6,2,2,3,4,2,5,2,2,6,6,6,2,2,2
c85,float1,1,standard,4,9,9,9,9,9,20,9,9,9,11,32,2,3,5,6,7,9,8,9,9,11,10,12
c86,float2,1,standard,4,9,9,9,9,9,20,9,1,1,11,32,2,3,5,6,7,1,8,1,1,11,10,12
c87,flower,1,standard,1,2,3,4,5,6,7,8,9,10,17,18,11,12,5,13,14,15,10,10,10,17,18,16
c88,foot,1,standard,1,1,1,2,1,1,1,3,4,1,5,1,1,1,1,1,3,4,1,1,1,5,1,1
c89,four1,1,standard,1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,4,2,2,2,2,2,2,2,2
